player,team,nation,pos,age,90s Playing Time,npxG Per 90 Minutes,G-PK Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,Sh/90 Standard,G/Sh Standard,PrgP,KP,PPA,CrsPA,PrgC Carries,CPA Carries,Succ Take-Ons,PrgR Receiving,TklW Tackles,Int,Won Aerial Duels,Fls Performance,Fld Performance,Att 3rd Touches,Mid 3rd Touches,Def 3rd Touches,cluster
Eldor Shomurodov,Cagliari,UZB,"FW,MF",28.0,10.4,0.34,0.29,0.16,0.5,2.02,0.14,18,10,5,2,12,7,10,52,4,4,21,11,11,174,164,33,8
Eli Junior Kroupi,Lorient,FRA,"FW,MF",17.0,12.0,0.29,0.42,0.15,0.44,1.83,0.23,12,11,7,2,10,5,12,63,4,10,8,16,8,174,168,40,8
Elia Caprile,Empoli,ITA,GK,21.0,23.0,0.0,0.0,0.01,0.01,0.0,0.0,0,2,0,0,0,0,0,0,0,0,10,1,7,0,7,889,16
Elias Baum,Eint Frankfurt,GER,"DF,MF",17.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,18,7,0
Eliesse Ben Seghir,Monaco,MAR,"MF,FW",18.0,4.8,0.17,0.42000000000000004,0.1,0.27,2.94,0.14,21,5,6,1,26,6,6,56,6,2,5,6,19,144,128,25,8
Elif Elmas,RB Leipzig,MKD,"MF,FW",23.0,6.8,0.19176470588235295,0.29617647058823526,0.05117647058823529,0.24294117647058822,2.3797058823529413,0.18441176470588236,25,8,3,0,23,8,11,44,9,3,1,11,10,174,184,47,8
Elijah Adebayo,Luton Town,ENG,FW,25.0,15.8,0.37,0.63,0.04,0.42,1.97,0.32,23,14,4,0,16,13,18,110,1,6,43,27,16,243,172,52,8
Eliot Matazo,Monaco,BEL,MF,21.0,1.1,0.07,0.0,0.91,0.98,0.88,0.0,10,2,1,0,2,1,2,2,1,3,4,5,1,17,41,20,9
Ellyes Skhiri,Eint Frankfurt,TUN,MF,28.0,24.1,0.1,0.08,0.04,0.14,0.7500000000000001,0.11,110,19,16,0,10,1,12,28,24,39,31,14,18,206,906,452,5
Elye Wahi,Lens,FRA,FW,20.0,19.0,0.564,0.4254736842105263,0.1830526315789474,0.7866315789473685,3.1069473684210527,0.13852631578947372,16,17,4,0,53,27,18,173,4,3,12,20,17,282,201,18,5
