player,team,nation,pos,age,npxG Per 90 Minutes,npxG Per 90 Minutes,G-PK Per 90 Minutes,G-PK Per 90 Minutes,xAG Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,xG+xAG Per 90 Minutes,Sh/90 Standard,Sh/90 Standard,G/Sh Standard,G/Sh Standard,PrgP,KP,PPA,CrsPA,PrgC Carries,CPA Carries,Succ Take-Ons,PrgR Receiving,TklW Tackles,Int,Won Aerial Duels,Fls Performance,Fld Performance,Att 3rd Touches,Mid 3rd Touches,Def 3rd Touches,cluster
Adri Bosch,Granada,ESP,DF,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,8,10,0
Adri Embarba,Almería,ESP,"FW,MF",31.0,3.575,0.13,1.9250000000000003,0.07,4.4,0.16,8.8,0.32,62.975,2.29,0.825,0.03,58,52,25,16,94,24,46,167,37,15,25,37,40,633,514,195,4
Adrian Grbić,Lorient,AUT,FW,26.0,0.081,0.27,0.0,0.0,0.0,0.0,0.081,0.27,1.7429999999999999,5.81,0.0,0.0,0,0,0,0,0,0,0,4,0,0,2,0,0,6,9,1,1
Adrien Lebeau,Brest,FRA,"MF,FW",24.0,0.06,0.1,0.0,0.0,0.46199999999999997,0.77,0.522,0.8700000000000001,1.998,3.33,0.0,0.0,0,4,0,0,1,1,0,5,0,0,0,1,2,16,19,8,1
Adrien Rabiot,Juventus,FRA,MF,28.0,3.245,0.11,5.015000000000001,0.17,4.130000000000001,0.14,7.67,0.26,38.055,1.29,3.835,0.13,120,26,23,10,72,10,28,106,39,25,54,44,38,447,829,269,4
Adrien Tameze,Torino,CMR,"DF,MF",29.0,0.714,0.03,0.0,0.0,2.142,0.09,2.856,0.12,9.044,0.38,0.0,0.0,90,19,10,3,22,2,12,39,16,47,30,19,15,196,777,536,2
Adrien Thomasson,Lens,FRA,MF,29.0,3.8569999999999998,0.29,1.064,0.08,3.8569999999999998,0.29,7.7139999999999995,0.58,31.122,2.34,0.399,0.03,68,30,15,3,20,7,9,121,14,9,13,16,16,393,330,107,4
Adrien Truffert,Rennes,FRA,DF,21.0,1.6660000000000001,0.07,0.9520000000000001,0.04,1.9040000000000001,0.08,3.57,0.15,19.992,0.84,1.1900000000000002,0.05,98,19,22,10,51,8,24,181,21,19,18,25,28,545,665,388,4
Adrià Altimira,Villarreal,ESP,"DF,MF",22.0,0.0,0.0,0.0,0.0,0.086,0.01,0.172,0.02,1.032,0.12000000000000001,0.0,0.0,29,2,5,2,10,0,11,15,7,5,2,12,4,82,278,200,0
Adrià Pedrosa,Sevilla,ESP,DF,25.0,0.78,0.04,0.9750000000000001,0.05,3.12,0.16,3.9000000000000004,0.2,15.989999999999998,0.82,1.17,0.06,61,27,18,13,46,9,12,109,26,15,10,6,32,408,477,307,4
Adryelson,Lyon,BRA,"DF,FW",25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0
Adson,Nantes,BRA,"MF,FW",22.0,0.23399999999999999,0.09,0.0,0.0,0.10400000000000001,0.04,0.338,0.13,4.914,1.89,0.0,0.0,15,3,4,0,18,4,5,19,6,2,0,4,4,68,81,18,1
Adu Ares,Athletic Club,ESP,FW,21.0,0.11599999999999999,0.04,0.0,0.0,0.028999999999999998,0.01,0.145,0.049999999999999996,3.944,1.36,0.0,0.0,3,1,0,0,13,5,15,39,4,1,1,5,12,70,63,21,0
Agustín Martegani,Salernitana,ARG,MF,23.0,0.5670000000000001,0.07,0.972,0.12,0.486,0.06,1.053,0.13,14.985,1.85,0.5670000000000001,0.07,28,6,4,0,14,3,12,22,7,4,6,10,14,113,201,65,1
Ahmed Touba,Lecce,ALG,DF,25.0,0.031000000000000003,0.01,0.0,0.0,0.0,0.0,0.031000000000000003,0.01,0.9920000000000001,0.32,0.0,0.0,2,0,0,0,0,0,0,1,4,7,5,6,1,5,67,106,0
Aiham Ousou,Cádiz,SYR,DF,23.0,0.192,0.04,0.0,0.0,0.0,0.0,0.192,0.04,2.016,0.42000000000000004,0.0,0.0,7,0,2,0,2,0,1,0,5,7,8,4,6,12,93,114,0
Aimar Oroz,Osasuna,ESP,MF,21.0,2.86,0.11,1.04,0.04,1.56,0.060000000000000005,5.2,0.2,23.92,0.92,1.04,0.04,103,26,18,0,52,9,26,126,26,16,19,39,46,516,651,157,4
Aingeru Olabarrieta,Athletic Club,ESP,FW,17.0,0.012,0.12,0.0,0.0,0.0,0.0,0.012,0.12,1.0,10.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,1
Aitor Fernández,Osasuna,ESP,GK,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,207,0
Aitor Paredes,Athletic Club,ESP,DF,23.0,1.2,0.04,0.8999999999999999,0.029999999999999995,0.3,0.01,1.5,0.05,14.1,0.47,2.1,0.07,107,4,6,0,6,0,2,1,11,33,60,37,11,41,852,915,2
Akor Adams,Montpellier,NGA,FW,23.0,12.5,0.5,8.0,0.32,1.7500000000000002,0.07,14.249999999999998,0.57,79.0,3.16,2.5,0.1,17,17,4,2,40,22,14,127,4,5,54,39,22,323,266,61,4
Alaa Bellaarouch,Strasbourg,MAR,GK,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,0,0,1,4,0,3,0,3,540,7
Alan Matturro,Genoa,URU,DF,18.0,0.072,0.06,0.0,0.0,0.0,0.0,0.072,0.06,1.02,0.8500000000000001,0.0,0.0,4,0,0,0,0,0,1,1,1,2,3,0,0,7,17,18,0
Alassane Pléa,Gladbach,FRA,"FW,MF",30.0,6.177,0.29,5.964,0.28,4.047000000000001,0.19000000000000003,11.076,0.52,57.084,2.68,2.343,0.11,115,36,38,3,56,21,21,157,7,2,15,15,29,446,472,71,4
Alban Lafont,Nantes,CIV,GK,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,11,1,4,0,6,1075,7
Albert Guðmundsson,Genoa,ISL,"FW,MF",26.0,5.695,0.17,10.049999999999999,0.3,5.36,0.16,15.075000000000001,0.45,51.925000000000004,1.55,6.365,0.19,120,81,34,8,82,17,42,168,10,11,3,28,46,678,708,168,4
Alberto Cerri,Empoli,ITA,FW,27.0,1.159,0.19,1.037,0.16999999999999998,0.244,0.04,1.403,0.23,10.065,1.65,0.61,0.1,9,4,1,0,3,1,1,23,3,3,41,15,9,85,89,17,1
Alberto Dadie,Real Sociedad,ESP,MF,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,6,6,0
Alberto Dossena,Cagliari,ITA,DF,24.0,2.317,0.07,1.986,0.06,1.986,0.06,4.303,0.13,24.163,0.73,2.648,0.08,89,12,4,0,9,0,5,2,35,45,118,38,42,55,748,930,2
Alberto Grassi,Empoli,ITA,MF,28.0,1.0050000000000001,0.05,0.0,0.0,0.603,0.029999999999999995,1.8090000000000002,0.09,23.115,1.15,0.0,0.0,75,6,6,0,13,0,5,13,18,41,28,22,33,143,625,324,2
Alberto Marí,Valencia,ESP,FW,22.0,1.209,0.39,0.0,0.0,0.8680000000000001,0.28,2.728,0.88,6.076,1.9599999999999997,0.0,0.0,6,6,1,0,2,2,3,13,2,0,8,10,6,56,31,15,1
Alberto Moleiro,Las Palmas,ESP,"FW,MF",19.0,2.0,0.1,3.0,0.15,2.6,0.13,4.6000000000000005,0.23000000000000004,33.0,1.65,1.7999999999999998,0.09,87,27,26,2,86,24,57,184,6,7,1,17,18,453,441,109,4
Alberto Perea,Granada,ESP,"MF,FW",32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0,0,0,0,1,0,0,0,0,2,4,3,1,0
Alberto Risco,Getafe,ESP,MF,17.0,0.07500000000000001,0.05000000000000001,0.0,0.0,0.315,0.21,0.39,0.26,1.965,1.31,0.0,0.0,6,4,2,0,3,0,2,14,2,0,0,1,1,34,26,5,1
